"Date","Price","Open","High","Low","Vol.","Change %"
"16-09-2025","11.450","11.450","11.450","11.450","","0.79%"
"15-09-2025","11.360","11.360","11.360","11.360","","0.04%"
"12-09-2025","11.355","11.355","11.355","11.355","","0.09%"
"11-09-2025","11.345","11.345","11.345","11.345","","0.09%"
"10-09-2025","11.335","11.335","11.335","11.335","","0.04%"
"09-09-2025","11.330","11.330","11.330","11.330","","-0.13%"
"08-09-2025","11.345","11.345","11.345","11.345","","0.40%"
"05-09-2025","11.300","11.300","11.300","11.300","","0.49%"
"04-09-2025","11.245","11.245","11.245","11.245","","0.18%"
"03-09-2025","11.225","11.225","11.225","11.225","","-0.18%"
"02-09-2025","11.245","11.245","11.245","11.245","","0.27%"
"29-08-2025","11.215","11.215","11.215","11.215","","0.09%"
"28-08-2025","11.205","11.205","11.205","11.205","","-0.93%"
"27-08-2025","11.310","11.310","11.310","11.310","","-1.57%"
"26-08-2025","11.490","11.490","11.490","11.490","","-0.52%"
"25-08-2025","11.550","11.550","11.550","11.550","","0.00%"
"22-08-2025","11.550","11.550","11.550","11.550","","0.96%"
"21-08-2025","11.440","11.440","11.440","11.440","","2.97%"
"20-08-2025","11.110","11.110","11.110","11.110","","1.79%"
"19-08-2025","10.915","10.915","10.915","10.915","","-0.14%"
"18-08-2025","10.930","10.930","10.930","10.930","","-8.10%"
"15-08-2025","11.893","11.893","11.893","11.893","","-0.14%"
"14-08-2025","11.910","11.910","11.910","11.910","","-0.17%"
"13-08-2025","11.930","11.930","11.930","11.930","","0.04%"
"12-08-2025","11.925","11.925","11.925","11.925","","-0.08%"
"11-08-2025","11.935","11.935","11.935","11.935","","0.04%"
"08-08-2025","11.930","11.930","11.930","11.930","","-0.08%"
"07-08-2025","11.940","11.940","11.940","11.940","","0.08%"
"06-08-2025","11.930","11.930","11.930","11.930","","-0.50%"
"05-08-2025","11.990","11.990","11.990","11.990","","-0.12%"
"04-08-2025","12.005","12.005","12.005","12.005","","0.04%"
"01-08-2025","12.000","12.000","12.000","12.000","","-0.33%"
"31-07-2025","12.040","12.040","12.040","12.040","","0.00%"
"30-07-2025","12.040","12.040","12.040","12.040","","0.33%"
"29-07-2025","12.000","12.000","12.000","12.000","","0.63%"
"28-07-2025","11.925","11.925","11.925","11.925","","0.42%"
"25-07-2025","11.875","11.875","11.875","11.875","","-0.04%"
"24-07-2025","11.880","11.880","11.880","11.880","","-0.42%"
"23-07-2025","11.930","11.930","11.930","11.930","","-1.16%"
"22-07-2025","12.070","12.070","12.070","12.070","","0.75%"
"21-07-2025","11.980","11.980","11.980","11.980","","-0.17%"
"18-07-2025","12.000","12.000","12.000","12.000","","-1.48%"
"17-07-2025","12.180","12.180","12.180","12.180","","-1.81%"
"16-07-2025","12.405","12.405","12.405","12.405","","-5.34%"
"15-07-2025","13.105","13.105","13.105","13.105","","-0.08%"
"14-07-2025","13.115","13.115","13.115","13.115","","0.00%"
"11-07-2025","13.115","13.115","13.115","13.115","","-0.08%"
"10-07-2025","13.125","13.125","13.125","13.125","","0.08%"
"09-07-2025","13.115","13.115","13.115","13.115","","0.00%"
"08-07-2025","13.115","13.115","13.115","13.115","","0.15%"
"07-07-2025","13.095","13.095","13.095","13.095","","-0.49%"
"03-07-2025","13.160","13.160","13.160","13.160","","-0.04%"
"02-07-2025","13.165","13.165","13.165","13.165","","0.46%"
"01-07-2025","13.105","13.105","13.105","13.105","","-0.15%"
"30-06-2025","13.125","13.125","13.125","13.125","","-0.53%"
"27-06-2025","13.195","13.195","13.195","13.195","","-0.98%"
"26-06-2025","13.325","13.325","13.325","13.325","","-1.59%"
"25-06-2025","13.540","13.540","13.540","13.540","","0.15%"
"24-06-2025","13.520","13.520","13.520","13.520","","-6.50%"
"23-06-2025","14.460","14.460","14.460","14.460","","1.44%"
"20-06-2025","14.255","14.255","14.255","14.255","","2.70%"
"18-06-2025","13.880","13.880","13.880","13.880","","-0.89%"
"17-06-2025","14.005","14.005","14.005","14.005","","3.09%"
"16-06-2025","13.585","13.585","13.585","13.585","","8.65%"
"13-06-2025","12.504","12.504","12.504","12.504","","0.35%"
"12-06-2025","12.460","12.460","12.460","12.460","","0.12%"
"11-06-2025","12.445","12.445","12.445","12.445","","0.28%"
"10-06-2025","12.410","12.410","12.410","12.410","","-0.24%"
"09-06-2025","12.440","12.440","12.440","12.440","","-0.04%"
"06-06-2025","12.445","12.445","12.445","12.445","","0.24%"
"05-06-2025","12.415","12.415","12.415","12.415","","0.36%"
"04-06-2025","12.370","12.370","12.370","12.370","","0.32%"
"03-06-2025","12.330","12.330","12.330","12.330","","0.24%"
"02-06-2025","12.300","12.300","12.300","12.300","","1.19%"
"30-05-2025","12.155","12.155","12.155","12.155","","-1.14%"
"29-05-2025","12.295","12.295","12.295","12.295","","-1.36%"
"28-05-2025","12.465","12.465","12.465","12.465","","-0.24%"
"27-05-2025","12.495","12.495","12.495","12.495","","0.08%"
"23-05-2025","12.485","12.485","12.485","12.485","","1.09%"
"22-05-2025","12.350","12.350","12.350","12.350","","-1.04%"
"21-05-2025","12.480","12.480","12.480","12.480","","-0.28%"
"20-05-2025","12.515","12.515","12.515","12.515","","4.60%"
"19-05-2025","11.965","11.965","11.965","11.965","","0.59%"
"16-05-2025","11.895","11.895","11.895","11.895","","3.45%"
"15-05-2025","11.498","11.498","11.498","11.498","","0.20%"
"14-05-2025","11.475","11.475","11.475","11.475","","0.13%"
"13-05-2025","11.460","11.460","11.460","11.460","","0.17%"
"12-05-2025","11.440","11.440","11.440","11.440","","-0.22%"
"09-05-2025","11.465","11.465","11.465","11.465","","0.13%"
"08-05-2025","11.450","11.450","11.450","11.450","","0.35%"
